doc_id,timestamp,n_chunks,total_chars,chunk_time_s,embed_time_s,upsert_time_s,total_time_s,chars_per_s,ram_delta_mb,ram_peak_mb,vram_peak_mb,avg_sparse_tokens,status
despesas-educacao-irpf-relatorio-de-avaliacao,2026-07-07T21:19:37+00:00,401,180603,0.495,0.824,0.535,1.912,219119.6,54.7,2510.9,1093.2,53.0,ok
rfepct-relatorio-de-avaliacao,2026-07-07T21:35:23+00:00,695,339772,0.783,1.245,0.839,2.961,272851.6,23.5,2560.8,1093.2,60.4,ok
rfepct-relatorio-de-avaliacao,2026-07-07T22:57:46+00:00,695,339772,0.773,1.235,0.942,3.023,275025.0,45.8,2100.1,1093.2,60.4,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-07-21T16:49:35+00:00,401,180603,0.793,4.083,0.693,5.626,44228.4,64.9,2127.8,1093.2,53.0,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-07-21T16:51:29+00:00,401,180603,0.487,3.988,0.652,5.179,45282.3,72.7,2103.5,1093.2,53.0,ok
relatorio_avaliacao-cmas-2019-fies,2026-07-21T19:06:42+00:00,180,106220,0.245,3.595,0.324,4.193,29549.7,59.2,2123.0,1093.2,67.0,ok
relatorio_avaliacao-cmag-2020-abono,2026-07-22T02:38:44+00:00,161,194370,2.027,3.853,0.288,6.318,50449.2,315.2,2365.5,8.1,94.8,ok
postos-mre_relatorio-de-avaliacao,2026-07-22T04:17:34+00:00,186,214654,0.636,1158.429,0.323,1159.536,185.3,49.4,2415.4,8.1,100.0,ok
relatorio_avaliacao-cmag-2019-judicializacao,2026-07-22T04:36:53+00:00,40,63987,0.186,8.085,0.079,8.444,7913.9,1.7,2373.5,8.1,119.2,ok
pisf-relatorio-de-avaliacao,2026-07-22T04:37:02+00:00,832,1037693,2.923,13.069,1.522,18.088,79398.1,35.7,2409.1,8.1,119.4,ok
relatorio_avaliacao-cmas-2019-pnmpo,2026-07-22T04:37:20+00:00,110,168919,0.883,10.178,0.219,11.623,16596.2,13.5,2404.9,8.1,129.4,ok
proresidencia-relatorio-de-avaliacao,2026-07-22T04:37:32+00:00,320,464656,1.485,9.933,0.565,12.302,46778.2,3.4,2408.3,8.1,124.1,ok
esgotamento-sanitario_relatorio-de-avaliacao,2026-07-22T04:37:44+00:00,247,280398,0.877,9.39,0.434,10.983,29860.0,1.2,2409.6,8.1,105.9,ok
relatorio_avaliacao-cmag-2020-pnae,2026-07-22T04:37:56+00:00,611,819271,2.553,11.652,1.083,15.681,70311.9,6.4,2415.0,8.1,107.5,ok
despesas-com-pct_relatorio-de-avaliacao,2026-07-22T04:38:11+00:00,182,207704,0.539,8.92,0.333,10.012,23285.2,15.2,2423.3,8.1,111.3,ok
relatorio_avaliacao-cmag-2020-previdurb,2026-07-22T04:38:22+00:00,767,1299642,7.022,14.463,1.353,25.511,89859.9,23.1,2444.4,8.1,92.1,ok
