arquivo,tempo_processamento_s,quantidade_paginas,quantidade_imagens_extraidas,quantidade_tabelas_extraidas,ram_max_mb,vram_max_mb,status
despesas-educacao-irpf-relatorio-de-avaliacao.pdf,4.9,101,0,0,674.3,4237,Erro
despesas-educacao-irpf-relatorio-de-avaliacao.pdf,237.51,101,51,25,1042.04,32484,Sucesso
rfepct-relatorio-de-avaliacao.pdf,146.28,178,157,56,1051.81,35906,Sucesso
rfepct-relatorio-de-avaliacao.pdf,99.73,178,167,56,1054.82,31361,Sucesso
despesas-educacao-irpf-relatorio-de-avaliacao.pdf,19.64,101,0,0,638.51,12141,Erro
despesas-educacao-irpf-relatorio-de-avaliacao.pdf,0.0,101,51,25,0.0,0.0,Sucesso
relatorio_avaliacao-cmas-2019-fies.pdf,4.29,57,0,0,638.63,12141,Erro
relatorio_avaliacao-cmas-2019-fies.pdf,178.04,57,41,18,1318.43,40742,Sucesso
relatorio_avaliacao-cmas-2020-molestias-graves.pdf,67.43,48,36,18,1306.24,40138,Sucesso
relatorio_avaliacao-cmag-2020-abono.pdf,126.34,65,35,13,1311.13,41230,Sucesso
relatorio_avaliacao_termoeletricidade_atualizacao.pdf,95.85,101,57,9,1334.65,42789,Sucesso
relatorio_avaliacao-cmas-2020-deducao-despesas-medicas.pdf,166.39,47,31,17,1302.82,39425,Sucesso
seguranca-publica-relatorio-de-avaliacao.pdf,320.78,196,123,68,1359.19,45077,Sucesso
postos-mre_relatorio-de-avaliacao.pdf,380.29,69,47,16,1315.54,43693,Sucesso
relatorio_avaliacao-cmag-2019-judicializacao.pdf,325.61,24,7,6,1305.06,40101,Sucesso
pisf-relatorio-de-avaliacao.pdf,516.64,311,191,95,1382.52,45937,Sucesso
relatorio_avaliacao-cmas-2019-pnmpo.pdf,439.21,51,41,38,1307.79,42145,Sucesso
proresidencia-relatorio-de-avaliacao.pdf,530.71,161,92,45,1342.55,44155,Sucesso
esgotamento-sanitario_relatorio-de-avaliacao.pdf,604.74,95,95,31,1318.1,43735,Sucesso
relatorio_avaliacao-cmag-2020-pnae.pdf,523.08,275,128,44,1372.53,43971,Sucesso
despesas-com-pct_relatorio-de-avaliacao.pdf,545.47,65,37,24,1311.12,40319,Sucesso
relatorio_avaliacao-cmag-2020-previdurb.pdf,667.81,306,228,129,1377.91,35578,Sucesso
relatorio_avaliacao-cmag-2019-seguro-desemprego.pdf,591.72,40,18,11,1310.34,31296,Sucesso
relatorio_avaliacao-cmag-2020-sisceab.pdf,477.24,113,62,30,1324.62,34138,Sucesso
manutencao-de-rodovias-relatorio-de-avaliacao.pdf,449.35,130,74,22,1328.38,34130,Sucesso
rfepct-relatorio-de-avaliacao.pdf,297.97,178,146,58,1342.21,43915,Sucesso
fat-relatorio-de-avaliacoes.pdf,407.21,90,137,43,1317.24,40483,Sucesso
despesas-educacao-irpf-relatorio-de-avaliacao.pdf,446.74,101,51,25,1367.48,42657,Sucesso
relatorio-de-avaliacao-politica-de-prevencao-e-combate-ao-desmatamento-ile.pdf,463.8,124,67,24,1327.15,43381,Sucesso
relatorio_avaliacao-cmas-2020-fcfs.pdf,493.14,151,174,90,1333.66,44275,Sucesso
prouni_relatorio-de-avaliacao.pdf,394.88,74,85,30,1313.04,43403,Sucesso
relatorio_avaliacao-cmas-2020-simples-nacional.pdf,382.34,93,58,11,1335.76,44253,Sucesso
biodiesel_relatorio-de-avaliacao.pdf,415.96,133,102,43,1341.13,44941,Sucesso
benefprevfapi_relatorio-de-avaliacao.pdf,381.15,124,122,60,1327.75,44527,Sucesso
relatorio_avaliacao-cmas-2020-psrproagro.pdf,368.05,35,19,6,1429.75,42169,Sucesso
relatorio_avaliacao-cmas-2019-cebas-educacao.pdf,382.12,60,42,13,1310.41,40319,Sucesso
fomento-p-d_relatorio-de-avaliacao.pdf,387.01,144,68,36,1339.88,43891,Sucesso
